Pavardė        Vardas        Galutinis (Med.)    
-------------------------------------------------------
Pavarde5299    Vardas5299     5.00
Pavarde1251    Vardas1251     5.00
Pavarde708     Vardas708      5.00
Pavarde2568    Vardas2568     5.00
Pavarde4311    Vardas4311     5.00
Pavarde7589    Vardas7589     5.00
Pavarde7923    Vardas7923     5.00
Pavarde1254    Vardas1254     5.00
Pavarde1106    Vardas1106     5.00
Pavarde677     Vardas677      5.00
Pavarde7581    Vardas7581     5.00
Pavarde2236    Vardas2236     5.00
Pavarde7918    Vardas7918     5.00
Pavarde4916    Vardas4916     5.00
Pavarde2275    Vardas2275     5.00
Pavarde2284    Vardas2284     5.00
Pavarde7856    Vardas7856     5.00
Pavarde7855    Vardas7855     5.00
Pavarde7845    Vardas7845     5.00
Pavarde2194    Vardas2194     5.00
Pavarde1127    Vardas1127     5.00
Pavarde2165    Vardas2165     5.00
Pavarde9342    Vardas9342     5.00
Pavarde6004    Vardas6004     5.00
Pavarde4718    Vardas4718     5.00
Pavarde717     Vardas717      5.00
Pavarde9345    Vardas9345     5.00
Pavarde9346    Vardas9346     5.00
Pavarde5878    Vardas5878     5.00
Pavarde1300    Vardas1300     5.00
Pavarde7554    Vardas7554     5.00
Pavarde7587    Vardas7587     5.00
Pavarde8973    Vardas8973     5.00
Pavarde1296    Vardas1296     5.00
Pavarde7573    Vardas7573     5.00
Pavarde1134    Vardas1134     5.00
Pavarde710     Vardas710      5.00
Pavarde1283    Vardas1283     5.00
Pavarde9034    Vardas9034     5.00
Pavarde2223    Vardas2223     5.00
Pavarde1219    Vardas1219     5.00
Pavarde5508    Vardas5508     5.00
Pavarde1170    Vardas1170     5.00
Pavarde9320    Vardas9320     5.00
Pavarde1090    Vardas1090     5.00
Pavarde7766    Vardas7766     5.00
Pavarde5525    Vardas5525     5.00
Pavarde1167    Vardas1167     5.00
Pavarde5945    Vardas5945     5.00
Pavarde2510    Vardas2510     5.00
Pavarde5951    Vardas5951     5.00
Pavarde9475    Vardas9475     5.00
Pavarde7733    Vardas7733     5.00
Pavarde4218    Vardas4218     5.00
Pavarde2422    Vardas2422     5.00
Pavarde2524    Vardas2524     5.00
Pavarde9513    Vardas9513     5.00
Pavarde2506    Vardas2506     5.00
Pavarde2437    Vardas2437     5.00
Pavarde2449    Vardas2449     5.00
Pavarde553     Vardas553      5.00
Pavarde1096    Vardas1096     5.00
Pavarde2466    Vardas2466     5.00
Pavarde2499    Vardas2499     5.00
Pavarde1194    Vardas1194     5.00
Pavarde542     Vardas542      5.00
Pavarde1175    Vardas1175     5.00
Pavarde5924    Vardas5924     5.00
Pavarde5990    Vardas5990     5.00
Pavarde7841    Vardas7841     5.00
Pavarde9419    Vardas9419     5.00
Pavarde1237    Vardas1237     5.00
Pavarde5915    Vardas5915     5.00
Pavarde7600    Vardas7600     5.00
Pavarde8954    Vardas8954     5.00
