Pavardė        Vardas        Galutinis (Med.)    
-------------------------------------------------------
Pavarde8773    Vardas8773     1.40
Pavarde7770    Vardas7770     1.40
Pavarde5298    Vardas5298     1.40
Pavarde8974    Vardas8974     1.40
Pavarde4389    Vardas4389     1.40
Pavarde2463    Vardas2463     1.60
Pavarde6464    Vardas6464     1.80
Pavarde3536    Vardas3536     1.80
Pavarde4219    Vardas4219     1.80
Pavarde3780    Vardas3780     1.80
Pavarde8226    Vardas8226     1.80
Pavarde8029    Vardas8029     1.80
Pavarde5238    Vardas5238     1.80
Pavarde9025    Vardas9025     1.80
Pavarde5752    Vardas5752     1.80
Pavarde6594    Vardas6594     1.80
Pavarde2227    Vardas2227     1.80
Pavarde7049    Vardas7049     1.80
Pavarde5880    Vardas5880     1.80
Pavarde4341    Vardas4341     1.80
Pavarde6135    Vardas6135     1.80
Pavarde6151    Vardas6151     1.80
Pavarde4510    Vardas4510     1.80
Pavarde8902    Vardas8902     1.80
Pavarde9707    Vardas9707     1.80
Pavarde3476    Vardas3476     1.80
Pavarde7075    Vardas7075     1.80
Pavarde5552    Vardas5552     1.80
Pavarde4621    Vardas4621     1.80
Pavarde8148    Vardas8148     1.80
Pavarde4374    Vardas4374     1.80
Pavarde3522    Vardas3522     1.80
Pavarde1181    Vardas1181     1.80
Pavarde6996    Vardas6996     1.80
Pavarde6102    Vardas6102     1.80
Pavarde8278    Vardas8278     1.80
Pavarde6167    Vardas6167     1.80
Pavarde2326    Vardas2326     1.80
Pavarde6174    Vardas6174     1.80
Pavarde2546    Vardas2546     1.80
Pavarde1052    Vardas1052     1.80
Pavarde5063    Vardas5063     1.80
Pavarde4997    Vardas4997     1.80
Pavarde7851    Vardas7851     1.80
Pavarde3750    Vardas3750     1.80
Pavarde2483    Vardas2483     1.80
Pavarde2254    Vardas2254     1.80
Pavarde2676    Vardas2676     1.80
Pavarde260     Vardas260      1.80
Pavarde7710    Vardas7710     1.80
Pavarde3962    Vardas3962     1.80
Pavarde8641    Vardas8641     2.00
Pavarde8667    Vardas8667     2.00
Pavarde1472    Vardas1472     2.20
Pavarde6389    Vardas6389     2.20
Pavarde1874    Vardas1874     2.20
Pavarde4244    Vardas4244     2.20
Pavarde8754    Vardas8754     2.20
Pavarde3659    Vardas3659     2.20
Pavarde9350    Vardas9350     2.20
Pavarde719     Vardas719      2.20
Pavarde6794    Vardas6794     2.20
Pavarde3088    Vardas3088     2.20
Pavarde9883    Vardas9883     2.20
Pavarde2694    Vardas2694     2.20
Pavarde2841    Vardas2841     2.20
Pavarde5754    Vardas5754     2.20
Pavarde4774    Vardas4774     2.20
Pavarde750     Vardas750      2.20
Pavarde1789    Vardas1789     2.20
Pavarde2570    Vardas2570     2.20
Pavarde1794    Vardas1794     2.20
Pavarde9875    Vardas9875     2.20
Pavarde9322    Vardas9322     2.20
Pavarde7447    Vardas7447     2.20
Pavarde3609    Vardas3609     2.20
Pavarde6734    Vardas6734     2.20
Pavarde2764    Vardas2764     2.20
Pavarde7329    Vardas7329     2.20
Pavarde8658    Vardas8658     2.20
Pavarde1619    Vardas1619     2.20
Pavarde1503    Vardas1503     2.20
Pavarde7558    Vardas7558     2.20
Pavarde1510    Vardas1510     2.20
Pavarde9663    Vardas9663     2.20
Pavarde9653    Vardas9653     2.20
Pavarde830     Vardas830      2.20
Pavarde8623    Vardas8623     2.20
Pavarde3428    Vardas3428     2.20
Pavarde9832    Vardas9832     2.20
Pavarde8584    Vardas8584     2.20
Pavarde7566    Vardas7566     2.20
Pavarde5070    Vardas5070     2.20
Pavarde9186    Vardas9186     2.20
Pavarde9182    Vardas9182     2.20
Pavarde6998    Vardas6998     2.20
Pavarde6954    Vardas6954     2.20
Pavarde8395    Vardas8395     2.20
Pavarde2815    Vardas2815     2.20
Pavarde7365    Vardas7365     2.20
Pavarde2722    Vardas2722     2.20
Pavarde7333    Vardas7333     2.20
Pavarde365     Vardas365      2.20
Pavarde5610    Vardas5610     2.20
Pavarde9105    Vardas9105     2.20
Pavarde1428    Vardas1428     2.20
Pavarde1762    Vardas1762     2.20
Pavarde2581    Vardas2581     2.20
Pavarde5619    Vardas5619     2.20
Pavarde5004    Vardas5004     2.20
Pavarde3973    Vardas3973     2.20
Pavarde1681    Vardas1681     2.20
Pavarde5199    Vardas5199     2.20
Pavarde5686    Vardas5686     2.20
Pavarde7672    Vardas7672     2.20
Pavarde1646    Vardas1646     2.20
Pavarde6333    Vardas6333     2.20
Pavarde7254    Vardas7254     2.20
Pavarde6059    Vardas6059     2.20
Pavarde2951    Vardas2951     2.20
Pavarde309     Vardas309      2.20
Pavarde6608    Vardas6608     2.20
Pavarde5273    Vardas5273     2.20
Pavarde3542    Vardas3542     2.20
Pavarde8921    Vardas8921     2.20
Pavarde7988    Vardas7988     2.20
Pavarde2967    Vardas2967     2.20
Pavarde6341    Vardas6341     2.20
Pavarde7233    Vardas7233     2.20
Pavarde8014    Vardas8014     2.20
Pavarde3594    Vardas3594     2.20
Pavarde5259    Vardas5259     2.20
Pavarde9899    Vardas9899     2.20
Pavarde3651    Vardas3651     2.20
Pavarde2985    Vardas2985     2.20
Pavarde459     Vardas459      2.20
Pavarde7601    Vardas7601     2.20
Pavarde9730    Vardas9730     2.20
Pavarde4970    Vardas4970     2.20
Pavarde2348    Vardas2348     2.20
Pavarde5516    Vardas5516     2.20
Pavarde3756    Vardas3756     2.20
Pavarde1171    Vardas1171     2.20
Pavarde485     Vardas485      2.20
Pavarde6512    Vardas6512     2.20
Pavarde4721    Vardas4721     2.20
Pavarde4285    Vardas4285     2.20
Pavarde6106    Vardas6106     2.20
Pavarde6287    Vardas6287     2.20
Pavarde7279    Vardas7279     2.20
Pavarde2300    Vardas2300     2.20
Pavarde7782    Vardas7782     2.20
Pavarde7498    Vardas7498     2.20
Pavarde7885    Vardas7885     2.20
Pavarde2929    Vardas2929     2.20
Pavarde9970    Vardas9970     2.20
Pavarde8930    Vardas8930     2.20
Pavarde2218    Vardas2218     2.20
Pavarde662     Vardas662      2.20
Pavarde8855    Vardas8855     2.20
Pavarde7488    Vardas7488     2.20
Pavarde4249    Vardas4249     2.20
Pavarde2649    Vardas2649     2.20
Pavarde294     Vardas294      2.20
Pavarde4419    Vardas4419     2.20
Pavarde6042    Vardas6042     2.20
Pavarde1918    Vardas1918     2.20
Pavarde4018    Vardas4018     2.20
Pavarde1927    Vardas1927     2.20
Pavarde4988    Vardas4988     2.20
Pavarde3510    Vardas3510     2.20
Pavarde9379    Vardas9379     2.20
Pavarde7527    Vardas7527     2.20
Pavarde5172    Vardas5172     2.20
Pavarde4434    Vardas4434     2.20
Pavarde1882    Vardas1882     2.20
Pavarde115     Vardas115      2.20
Pavarde5326    Vardas5326     2.20
Pavarde292     Vardas292      2.20
Pavarde1245    Vardas1245     2.20
Pavarde6913    Vardas6913     2.20
Pavarde2787    Vardas2787     2.20
Pavarde3732    Vardas3732     2.20
Pavarde2018    Vardas2018     2.20
Pavarde1997    Vardas1997     2.20
Pavarde3017    Vardas3017     2.20
Pavarde1966    Vardas1966     2.20
Pavarde2419    Vardas2419     2.20
